Publication,Publication date,News url,Article #,Sentence #,Sentence,Word,Pos,Chunk,NER_tag,Mapping,Target,Opinion,Aspect,Sentiment,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Financial Times,1/17/2011,https://www.ft.com/content/9f1e86d8-1a0a-11e0-a8d8-00144feab49a,61,9,,"['Sir', 'Richard', 'was', 'speaking', 'in', 'Toulouse', 'where', 'one', 'of', 'his', 'more', 'recent', 'start-ups', ',', 'Virgin', 'America', ',', 'announced', '60', 'firm', 'orders', ',', 'as', 'opposed', 'to', 'memoranda', 'of', 'understanding', ',', 'for', 'Airbus', ""'s"", 'best-selling', 'A320', 'jets', '.']","['NNP', 'NNP', 'VBD', 'VBG', 'IN', 'NNP', 'WRB', 'CD', 'IN', 'PRP$', 'RBR', 'JJ', 'NNS', ',', 'NNP', 'NNP', ',', 'VBD', 'CD', 'JJ', 'NNS', ',', 'IN', 'VBN', 'IN', 'NN', 'IN', 'NN', ',', 'IN', 'NNP', 'POS', 'JJ', 'NN', 'NNS', '.']","['B-NP', 'I-NP', 'B-VP', 'I-VP', 'B-PP', 'B-NP', 'B-ADVP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'O', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-SBAR', 'B-VP', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'O', 'B-PP', 'B-NP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,"['Virgin Group', 'Airbus']","[' which Virgin Group has a 25 per cent stake', ' next-generation engines that Airbus says will make it 15']","['corporate', 'corporate']","[0.08189275, 0.8070731]",,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9f1e86d8-1a0a-11e0-a8d8-00144feab49a,61,10,,"['Thirty', 'of', 'the', 'jets', 'ordered', 'by', 'the', 'San', 'Francisco-based', 'low-cost', 'airline', ',', 'in', 'which', 'Virgin', 'Group', 'has', 'a', '25', 'per', 'cent', 'stake', ',', 'will', 'be', 'A320', 'NEOs', ',', 'a', 'new', 'version', 'of', 'the', 'single-aisle', 'workhorse', 'with', 'next-generation', 'engines', 'that', 'Airbus', 'says', 'will', 'make', 'it', '15', 'per', 'cent', 'more', 'fuel-efficient', 'than', 'existing', 'models', '.']","['CD', 'IN', 'DT', 'NNS', 'VBN', 'IN', 'DT', 'NNP', 'NNP', 'JJ', 'NN', ',', 'IN', 'WDT', 'NNP', 'NNP', 'VBZ', 'DT', 'CD', 'NN', 'NN', 'NN', ',', 'MD', 'VB', 'NNP', 'NNPS', ',', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'VBZ', 'MD', 'VB', 'PRP', 'CD', 'NN', 'NN', 'RBR', 'JJ', 'IN', 'VBG', 'NNS', '.']","['B-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-PP', 'B-NP', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-NP', 'B-NP', 'B-VP', 'B-VP', 'I-VP', 'B-NP', 'B-ADJP', 'I-ADJP', 'I-ADJP', 'B-ADJP', 'I-ADJP', 'B-PP', 'B-NP', 'I-NP', 'O']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9f1e86d8-1a0a-11e0-a8d8-00144feab49a,61,11,,"['That', 'added', 'efficiency', 'will', 'allow', 'Virgin', 'America', 'to', 'start', 'flights', 'from', 'the', 'west', 'coast', 'of', 'the', 'US', 'to', 'Hawaii', ',', 'said', 'David', 'Cush', ',', 'the', 'airline', ""'s"", 'chief', 'executive', '.']","['DT', 'VBN', 'NN', 'MD', 'VB', 'NNP', 'NNP', 'TO', 'VB', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'IN', 'NNP', ',', 'VBD', 'NNP', 'NNP', ',', 'DT', 'NN', 'POS', 'JJ', 'NN', '.']","['B-NP', 'I-NP', 'I-NP', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'B-VP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,['Virgin America'],[' this had been the case'],['stock'],[-0.0073789432999999995],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,61,12,,"['The', '60-jet', 'deal', 'is', 'worth', '$', '5.1bn', '(£', '3.2bn', ')', 'at', 'list', ',', 'or', 'advertised', ',', 'prices', 'though', 'airlines', 'frequently', 'negotiate', 'substantial', 'discounts', 'and', 'Sir', 'Richard', 'said', 'he', 'was', '""', 'sure', '""', 'this', 'had', 'been', 'the', 'case', 'with', 'Virgin', 'America', '.']","['DT', 'CD', 'NN', 'VBZ', 'JJ', '$', 'CD', '$', 'CD', '-RRB-', 'IN', 'NN', ',', 'CC', 'VBN', ',', 'NNS', 'IN', 'NNS', 'RB', 'VBP', 'JJ', 'NNS', 'CC', 'NNP', 'NNP', 'VBD', 'PRP', 'VBD', '``', 'JJ', ""''"", 'DT', 'VBD', 'VBN', 'DT', 'NN', 'IN', 'NNP', 'NNP', '.']","['B-NP', 'I-NP', 'I-NP', 'B-VP', 'B-ADJP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'O', 'B-VP', 'O', 'B-NP', 'B-SBAR', 'B-NP', 'B-ADVP', 'B-VP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'B-VP', 'B-ADJP', 'I-ADJP', 'B-SBAR', 'B-NP', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,"['Airbus', 'Boeing']","["" the aircraft was critical to the industry 's future"", ' Boeing needed to follow suit']","['corporate', 'corporate']","[0.54897404, 0.0696155]",,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,61,13,,"['Sir', 'Richard', ',', 'who', 'was', 'getting', 'about', 'on', 'crutches', 'after', 'a', 'skiing', 'accident', ',', 'said', 'he', 'believed', 'the', 'fuel', 'efficiency', 'of', 'the', 'aircraft', 'was', 'critical', 'to', 'the', 'industry', ""'s"", 'future', 'and', 'Airbus', ""'s"", 'US', 'rivals', 'at', 'Boeing', 'needed', 'to', 'follow', 'suit', '.']","['NNP', 'NNP', ',', 'WP', 'VBD', 'VBG', 'RB', 'IN', 'NNS', 'IN', 'DT', 'NN', 'NN', ',', 'VBD', 'PRP', 'VBD', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'VBD', 'JJ', 'IN', 'DT', 'NN', 'POS', 'NN', 'CC', 'NNP', 'POS', 'NNP', 'NNS', 'IN', 'NNP', 'VBD', 'TO', 'VB', 'NN', '.']","['B-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'I-VP', 'B-PRT', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'B-ADJP', 'B-PP', 'B-NP', 'I-NP', 'B-NP', 'I-NP', 'O', 'B-NP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'B-VP', 'I-VP', 'I-VP', 'B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,['Boeing'],"["" Boeing do n't match it they""]",['corporate'],[-0.006775871],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,1,,"['Which', 'companies', 'will', 'get', 'a', 'business', 'bounce', 'from', 'last', 'night', ""'s"", 'Golden', 'Globes', '?']","['WDT', 'NNS', 'MD', 'VB', 'DT', 'NN', 'NN', 'IN', 'JJ', 'NN', 'POS', 'JJ', 'NNPS', '.']","['B-NP', 'I-NP', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-NP', 'I-NP', 'I-NP', 'O']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,2,,"['The', 'pictures', 'have', 'been', 'sent', 'round', 'the', 'world', ',', 'and', 'will', 'play', 'out', 'not', 'just', 'today', ',', 'or', 'throughout', 'the', 'week', 'in', 'various', 'newspapers', 'and', 'weekly', 'gossip', 'mags', ',', 'but', 'for', 'months', 'as', 'other', 'glossies', 're-visit', 'celebrity', 'looks', 'of', 'the', 'year', '.']","['DT', 'NNS', 'VBP', 'VBN', 'VBN', 'IN', 'DT', 'NN', ',', 'CC', 'MD', 'VB', 'RP', 'RB', 'RB', 'NN', ',', 'CC', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'CC', 'JJ', 'NN', 'NNS', ',', 'CC', 'IN', 'NNS', 'IN', 'JJ', 'NNS', 'VBP', 'NN', 'NNS', 'IN', 'DT', 'NN', '.']","['B-NP', 'I-NP', 'B-VP', 'I-VP', 'I-VP', 'B-PP', 'B-NP', 'I-NP', 'O', 'O', 'B-VP', 'I-VP', 'B-PRT', 'B-ADVP', 'I-ADVP', 'B-NP', 'B-PP', 'I-PP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'O', 'O', 'B-PP', 'B-NP', 'B-SBAR', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,3,,"['The', 'free', 'advertising', 'is', 'tantalising', ',', 'and', 'palpably', 'effective', '—', 'it', 'drives', 'consumers', 'into', 'stores', '—', 'which', 'is', 'why', 'it', ""'s"", 'worth', 'the', 'brands', 'giving', 'away', 'so', 'many', 'free', 'clothes', '.']","['DT', 'JJ', 'NN', 'VBZ', 'JJ', ',', 'CC', 'RB', 'JJ', '``', 'PRP', 'VBZ', 'NNS', 'IN', 'NNS', 'NFP', 'WDT', 'VBZ', 'WRB', 'PRP', 'VBZ', 'JJ', 'DT', 'NNS', 'VBG', 'RB', 'RB', 'JJ', 'JJ', 'NNS', '.']","['B-NP', 'I-NP', 'I-NP', 'B-VP', 'B-ADJP', 'O', 'O', 'B-ADJP', 'I-ADJP', 'O', 'B-NP', 'B-VP', 'B-NP', 'B-PP', 'B-NP', 'O', 'B-NP', 'B-VP', 'B-ADVP', 'B-NP', 'B-VP', 'B-ADJP', 'B-NP', 'I-NP', 'B-VP', 'B-ADVP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,4,,"['Anyway', ',', 'for', 'what', 'it', ""'s"", 'worth', ',', 'here', 'are', 'my', 'top', 'five', 'women', ""'s"", 'picks', ',', 'followed', 'by', 'a', 'note', 'on', 'men', ""'s"", 'wear', ':', '1', '.']","['UH', ',', 'IN', 'WP', 'PRP', 'VBZ', 'JJ', ',', 'RB', 'VBP', 'PRP$', 'JJ', 'CD', 'NNS', 'POS', 'NNS', ',', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'POS', 'NN', ':', 'CD', '.']","['B-ADVP', 'O', 'B-PP', 'B-NP', 'B-NP', 'B-VP', 'B-ADJP', 'O', 'B-ADVP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-NP', 'I-NP', 'O', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-NP', 'I-NP', 'O', 'B-NP', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,5,,"['Valentino', 'The', 'fact', 'that', 'both', 'commentator', 'and', 'It', 'girl', 'Alexa', 'Chung', 'and', 'young', 'It', 'actress', 'Michelle', 'Williams', 'wore', 'this', 'brand', 'solidifies', 'its', 're-invention', 'under', 'designers', 'Pier', 'Paolo', 'Piccioli', 'and', 'Maria', 'Grazia', 'Chiuri', ',', 'and', 'its', 're-directing', 'from', 'older', 'euro', 'society', 'to', 'the', 'new', 'generation', 'of', 'cool', 'newsmakers', '.']","['NNP', 'DT', 'NN', 'IN', 'CC', 'NN', 'CC', 'PRP', 'NN', 'NNP', 'NNP', 'CC', 'JJ', 'PRP', 'NN', 'NNP', 'NNP', 'VBD', 'DT', 'NN', 'VBZ', 'PRP$', 'NN', 'IN', 'NNS', 'NNP', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', ',', 'CC', 'PRP$', 'NN', 'IN', 'JJR', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['B-NP', 'B-NP', 'I-NP', 'B-SBAR', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'O', 'O', 'B-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,6,,"['2', '.']","['LS', '.']","['B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,7,,"['Viktor', 'and', 'Rolf', 'Dressing', 'the', 'Best', 'Actress', 'winner', 'is', 'always', 'a', 'coup', ',', 'because', 'the', 'publicity', 'is', 'guaranteed', ',', 'but', 'their', 'strapless', 'empire', 'waist', 'column', 'was', 'also', '(', 'for', 'them', ')', 'notably', 'graceful', ',', 'and', 'demonstrates', 'that', 'the', 'duo', ',', 'who', 'often', 'treat', 'catwalks', 'like', 'conceptual', 'theatre', ',', 'are', 'more', 'than', 'capable', 'of', 'simple', ',', 'elegant', 'dressing', ',', 'and', 'thus', 'longevity', '.']","['NNP', 'CC', 'NNP', 'NNP', 'DT', 'NNP', 'NNP', 'NN', 'VBZ', 'RB', 'DT', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'VBN', ',', 'CC', 'PRP$', 'JJ', 'NN', 'NN', 'NN', 'VBD', 'RB', ',', 'IN', 'PRP', ',', 'RB', 'JJ', ',', 'CC', 'VBZ', 'IN', 'DT', 'NN', ',', 'WP', 'RB', 'VBP', 'NNS', 'IN', 'JJ', 'NN', ',', 'VBP', 'RBR', 'IN', 'JJ', 'IN', 'JJ', ',', 'JJ', 'NN', ',', 'CC', 'RB', 'NN', '.']","['B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-VP', 'B-ADVP', 'B-NP', 'I-NP', 'O', 'B-SBAR', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'O', 'O', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'B-VP', 'B-ADVP', 'O', 'B-PP', 'B-NP', 'O', 'B-ADJP', 'I-ADJP', 'O', 'O', 'B-VP', 'B-SBAR', 'B-NP', 'I-NP', 'O', 'B-NP', 'B-ADVP', 'B-VP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-VP', 'B-ADJP', 'I-ADJP', 'I-ADJP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'O', 'B-ADVP', 'B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,8,,"['3', '.']","['LS', '.']","['B-NP', 'O']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,9,,"['Marchesa', 'Olivia', 'Wilde', 'looked', 'like', 'a', 'princess', ',', 'and', 'there', 'are', 'many', 'women', 'out', 'there', 'who', 'share', 'that', 'fantasy', '.']","['NNP', 'NNP', 'NNP', 'VBD', 'IN', 'DT', 'NN', ',', 'CC', 'EX', 'VBP', 'JJ', 'NNS', 'IN', 'RB', 'WP', 'VBP', 'DT', 'NN', '.']","['B-NP', 'I-NP', 'I-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'O', 'O', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'B-ADVP', 'I-ADVP', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'O']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,10,,"['This', 'brand', 'owns', 'fairy', 'tale', 'dressing', '.']","['DT', 'NN', 'VBZ', 'NN', 'NN', 'NN', '.']","['B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,11,,"['4', '.']","['LS', '.']","['B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,12,,"['Calvin', 'Klein', 'With', 'Claire', 'Danes', 'as', 'best', 'actress', 'in', 'a', 'TV', 'mini-series', ',', 'they', 'proved', 'pink', 'can', 'be', 'chic', 'instead', 'of', 'sweet', ',', 'and', 're-asserted', 'their', 'ownership', 'of', 'the', 'minimalist', 'aesthetic', ',', 'which', 'has', 'been', 'co-opted', 'for', 'the', 'last', 'two', 'years', 'by', 'Céline', '.']","['NNP', 'NNP', 'IN', 'NNP', 'NNP', 'IN', 'JJS', 'NN', 'IN', 'DT', 'NN', 'NNS', ',', 'PRP', 'VBD', 'NN', 'MD', 'VB', 'JJ', 'RB', 'IN', 'JJ', ',', 'CC', 'VBN', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'WDT', 'VBZ', 'VBN', 'VBN', 'IN', 'DT', 'JJ', 'CD', 'NNS', 'IN', 'NNP', '.']","['B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'B-NP', 'B-VP', 'I-VP', 'B-ADJP', 'B-CONJP', 'I-CONJP', 'B-ADJP', 'O', 'O', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'I-VP', 'I-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,13,,"['5', '.']","['LS', '.']","['B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,14,,"['Jenny', 'Packham', 'The', 'little-known', '(', 'outside', 'of', 'the', 'UK', ')', 'British', 'designer', 'should', 'get', 'a', 'major', 'international', 'boost', 'from', 'Sandra', 'Bullock', ""'s"", 'appearance', 'in', 'her', 'filigree', 'dress', '(', 'though', 'Ms', 'Bullock', ""'s"", 'hair', 'did', 'not', 'exactly', 'help', 'matters', ')', '.']","['NNP', 'NNP', 'DT', 'JJ', ',', 'RB', 'IN', 'DT', 'NNP', '-RRB-', 'JJ', 'NN', 'MD', 'VB', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'POS', 'NN', 'IN', 'PRP$', 'NN', 'NN', ',', 'IN', 'NNP', 'NNP', 'POS', 'NN', 'VBD', 'RB', 'RB', 'VB', 'NNS', '-RRB-', '.']","['B-NP', 'I-NP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-SBAR', 'B-NP', 'I-NP', 'B-NP', 'I-NP', 'B-VP', 'I-VP', 'I-VP', 'I-VP', 'I-VP', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
Financial Times,1/17/2011,https://www.ft.com/content/9fe5bda8-24e5-11e0-895d-00144feab49a,62,15,,"['Certainly', ',', 'US', 'department', 'stores', ',', 'the', 'key', 'to', 'the', 'broader', 'American', 'market', ',', 'should', 'sit', 'up', 'and', 'take', 'notice', '.']","['RB', ',', 'NNP', 'NN', 'NNS', ',', 'DT', 'NN', 'IN', 'DT', 'JJR', 'JJ', 'NN', ',', 'MD', 'VB', 'RP', 'CC', 'VB', 'NN', '.']","['B-ADVP', 'O', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'I-VP', 'B-ADVP', 'O', 'B-VP', 'B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,[nan],[nan],[nan],[nan],,,,,,,,,,
